1825	285	279
1826	285	319
1827	285	332
1828	285	347
1829	285	359
1830	285	439
1831	285	457
1832	285	466
1833	285	478
1834	286	188
1835	286	193
1836	286	203
1837	286	281
1838	286	283
1839	286	316
1840	286	425
1841	286	445
1842	286	510
1843	287	195
1844	287	213
1845	287	250
1846	287	266
1847	287	280
1848	287	313
1849	287	338
1850	287	366
1851	287	373
1852	287	436
1853	287	459
1854	287	473
1855	287	480
1856	288	212
1857	288	255
1858	288	273
1859	288	276
1860	288	317
1861	288	322
1862	288	335
1863	288	339
1864	288	349
1865	288	442
1866	288	453
1867	288	458
1868	288	474
1869	289	189
1870	289	196
1871	289	204
1872	289	267
1873	289	270
1874	289	284
1875	289	321
1876	289	360
1877	289	388
1878	289	403
1879	289	429
1880	289	431
1881	289	432
1882	289	449
1883	289	519
1884	290	192
1885	290	216
1886	290	267
1887	290	282
1888	290	325
1889	290	330
1890	290	360
1891	290	377
1892	290	439
1893	290	450
1894	290	475
1895	290	483
1896	291	191
1897	291	209
1898	291	221
1899	291	260
1900	291	263
1901	291	276
1902	291	328
1903	291	333
1904	291	339
1905	291	357
1906	291	359
1907	291	424
1908	291	435
1909	291	467
1910	291	469
1911	292	252
1912	292	282
1913	292	315
1914	292	320
1915	292	352
1916	292	364
1917	292	447
1918	292	448
1919	292	451
1920	293	185
1921	293	264
1922	293	276
1923	293	317
1924	293	328
1925	293	329
1926	293	345
1927	293	350
1928	293	438
1929	293	463
1930	293	464
1931	294	211
1932	294	222
1933	294	253
1934	294	273
1935	294	279
1936	294	331
1937	294	332
1938	294	335
1939	294	448
1940	294	454
1941	294	455
1942	295	185
1943	295	200
1944	295	210
1945	295	258
1946	295	282
1947	295	315
1948	295	325
1949	295	327
1950	295	362
1951	295	365
1952	295	437
1953	295	456
1954	295	464
1955	295	481
1956	296	194
1957	296	212
1958	296	218
1959	296	251
1960	296	274
1961	296	280
1962	296	338
1963	296	341
1964	296	343
1965	296	372
1966	296	442
1967	296	444
1968	296	446
1969	296	461
1970	297	186
1971	297	196
1972	297	203
1973	297	269
1974	297	271
1975	297	272
1976	297	318
1977	297	426
1978	297	449
1979	298	195
1980	298	202
1981	298	226
1982	298	249
1983	298	260
1984	298	273
1985	298	322
1986	298	331
1987	298	347
1988	298	357
1989	298	440
1990	298	459
1991	298	468
1992	298	471
1993	299	201
1994	299	221
1995	299	262
1996	299	266
1997	299	274
1998	299	337
1999	299	341
2000	299	356
2001	299	373
2002	299	424
2003	299	438
2004	299	465
2005	299	472
2006	300	212
2007	300	228
2008	300	340
2009	301	190
2010	301	198
2011	301	214
2012	301	264
2013	301	271
2014	301	277
2015	301	318
2016	301	345
2017	301	401
2018	301	406
2019	301	430
2020	301	434
2021	301	516
2022	302	187
2023	302	193
2024	302	214
2025	302	258
2026	302	268
2027	302	270
2028	302	321
2029	302	365
2030	302	382
2031	302	404
2032	302	427
2033	302	434
2034	302	441
2035	302	445
2036	302	511
2037	303	200
2038	303	208
2039	303	225
2040	303	265
2041	303	276
2042	303	279
2043	303	319
2044	303	329
2045	303	333
2046	303	335
2047	303	371
2048	303	433
2049	303	456
2050	303	460
2051	304	198
2052	304	204
2053	304	256
2054	304	275
2055	304	283
2056	304	316
2057	304	355
2058	304	385
2059	304	405
2060	304	431
2061	304	443
2062	304	520
2063	305	199
2064	305	214
2065	305	217
2066	305	259
2067	305	262
2068	305	275
2069	305	316
2070	305	356
2071	305	411
2072	305	428
2073	305	430
2074	305	441
2075	305	513
2076	306	176
2077	306	194
2078	306	202
2079	306	314
2080	306	334
2081	306	340
2082	306	361
2083	306	376
2084	306	440
2085	306	444
2086	306	462
2087	306	475
2088	307	192
